Question,Answer,Metadata
မျောက်ကျောက်ရောဂါဆိုတာဘာလဲ?,မျောက်ကျောက်ရောဂါဆိုတာ မျောက်ကျောက် (Monkeypox) ဗိုင်းရပ်စ်ပိုးကြောင့်ဖြစ်ပွားတဲ့ ရောဂါတစ်မျိုးဖြစ်ပါသည်။ တိရစ္ဆာန်မှတစ်ဆင့် လူသို့ကူးစက်စေနိုင်တဲ့ တိရစ္ဆာန်ဗိုင်းရပ်စ်တစ်မျိုးဖြစ်သလို လူအချင်းချင်းကိုလည်း ကူးစက်ပြန့်ပွားစေပါသည်။,https://www.who.int/myanmar/emergencies/mpox
မျောက်ကျောက်ရောဂါကို ဘယ်နေရာတွေမှာ တွေ့နိုင်သလဲ?,မျောက်ကျောက်ဗိုင်းရပ်စ်ပိုးတွေကို သယ်ဆောင်ထားတဲ့တိရစ္ဆာန်များ ကျက်စားရာ အပူပိုင်း မိုးသစ်တော ရာသီဥတုရှိသည့် အာဖရိကအလယ်ပိုင်းနှင့် အနောက်ပိုင်းဒေသတွေမှာ ၎င်းရောဂါကို အတွေ့များပါသည်။ အခြားသောနိုင်ငံများမှ မျောက်ကျောက်ရောဂါဖြစ်ပွားသူများသည် ၎င်းရောဂါ အဖြစ်များသော အာဖရိကအလယ်ပိုင်းနှင့် အနောက်ပိုင်း ဒေသ‌များသို့ သွားရောက်ခဲ့ခြင်းရှိသည်ကို တွေ့ရှိရတတ်ပါသည်။,https://www.who.int/myanmar/emergencies/mpox
 မျောက်ကျောက်ရောဂါ လက္ခဏာတွေက ဘာတွေလဲ?,"ရောဂါလက္ခဏာအနေဖြင့် ဖျားခြင်း၊ ခေါင်းအရမ်းကိုက်ခြင်း၊ ကြွက်သားနာကျင်ခြင်း၊ ခါးနာခြင်း၊ အားအင်ကုန်ခမ်းခြင်း၊ ပြန်ရည်အိပ် (Lymph node) များ ရောင်ရမ်းခြင်းနှင့် အရေပြားပေါ်တွင် အနီကွက်များ ထွက်ခြင်း သို့မဟုတ် အဖုအပိန့်များ၊ အရည်ကြည်ဖုများထွက်ခြင်းတို့ကို အများစုတွေ့ရတတ်ပါသည်။ အနီကွက်များကို စတင်ဖျားပြီး တစ်ရက်မှ သုံးရက်အတွင်း တွေ့ရလေ့ရှိပါသည်။ ထို့နောက် အ‌ရေပြားပေါ်တွင် အဖုအပိန့်များအနေဖြင့်လည်းကောင်း၊ အရည်ကြည် သို့မဟုတ် အဝါရောင်အရည်များပြည့်နေသည့် အရည်ကြည်ဖု၊ ပြည်ဖု အနေအထားဖြင့်လည်းကောင်း တွေ့ရှိရပါသည်။ ထို့နောက် ၎င်းအရည်ကြည်ဖုများသည် ပေါက်ပီး ခြောက်သွေ့ကာ အနာဖေးအနေဖြင့် ကွာကျသွားပါလိမ့်မည်။ လူနာတစ်ယောက်စီတွင် အဖုအပိန့်များကို အရေအတွက် အနည်းငယ်မှ ထောင်ပေါင်းများစွာအထိ တွေ့ရတတ်ပါသည်။ အဖုအပိန့်အများစုကို မျက်နှာ၊ လက်ဖဝါးနှင့် ခြေဖဝါးတို့မှာ တွေ့ရတတ်ပါသည်။ ၎င်းတို့ကို ပါးစပ်၊ လိင်အင်္ဂါတစ်ဝိုက်နှင့် မျက်စိတွင်လည်း တွေ့ရတတ်ပါသည်။

အများအားဖြင့် ရောဂါလက္ခဏာများသည် (၂) ပတ်မှ (၄) ပတ်အထိ ကြာတတ်ပြီး ဆေးကုသမှုခံယူရန်မလိုဘဲ ပျောက်ကင်းပါသည်။ သင့်တွင် မျောက်ကျောက်ရောဂါနှင့်တူသော လက္ခဏာများ ခံစားနေရသည်ဟု သံသယရှိပါက ကျန်းမာရေးဝန်ထမ်းများထံမှ အကြံဉာဏ်ကိုရယူပါ။ သံသယ သို့မဟုတ် အတည်ပြု မျောက်ကျောက်ရောဂါ ဖြစ်ပွားနေသည့်လူနာနှင့် အနီးကပ်ထိတွေ့ခဲ့ပါက ကျန်းမာရေးဝန်ထမ်းများကို အသိပေးပါ။",https://www.who.int/myanmar/emergencies/mpox
မျောက်ကျောက်ရောဂါကြောင့် သေဆုံးနိုင်သလား?,"လူနာအများစုသည် ရက်သတ္တပါတ်အနည်းငယ်အတွင်း၌ ရောဂါလက္ခဏာများ‌ ပျောက်ကင်းသွားနိုင်သလို လူတစ်ချို့မှာတော့ နောက်ဆက်တွဲ ရောဂါဆိုးကျိုးများဖြစ်ပွားပြီး သေဆုံးသည်အထိလည်း ဖြစ်နိုင်ပါသည်။ မွေးကင်းစကလေးငယ်များ၊ ကလေးများနှင့် ခုခံအားကျဆင်းနေသည့်သူများသည် မျောက်ကျောက်ရောဂါကြောင့် ပိုမိုပြင်းထန်သော ရောဂါလက္ခဏာများ ခံစားနိုင်ရချေရှိပြီး အသက်သေဆုံးသည်အထိ အန္တရာယ်ရှိနိုင်ပါသည်။

မျောက်ကျောက်ရောဂါ နောက်ဆက်တွဲဆိုးကျိုးများအနေဖြင့် အရေပြားတွင် အနာဖြစ်ခြင်း၊ အဆုတ်ရောင်ခြင်း၊ စိတ် ကယောင်ခြောက်ခြားဖြစ်ခြင်းနှင့် မျက်လုံးသို့ရောဂါပိုးဝင်ပြီး အမြင်အာရုံထိခိုက်ခြင်းများ ဖြစ်စေနိုင်ပါသည်။ လတ်တလောကာလတွင် ရောဂါဖြစ်ပွားမှုများသော တိုင်းပြည်များ၏ သတင်းပို့လူနာများအနက် (၃-၆) ရာခိုင်နှုန်းအထိ သေဆုံးနေပြီး ရောဂါအခံရှိသူများနှင့် ကလေးငယ်များ သေဆုံးခြင်းကို မကြာခဏတွေ့ရှိရပါသည်။ ရောဂါဖြစ်ပွားမှုများသည့်တိုင်းပြည်များ၏ ရောဂါစောင့်ကြပ်ကြည့်ရှုခြင်းစနစ်သည် လိုအပ်ချက် အကန့်အသတ်ရှိသည့်အတွက် ယခုဖြစ်ပွားနှုန်းများသည် ပိုမိုတွက်ချက်ခန့်မှန်းထားခြင်းလည်း ဖြစ်နိုင်သည်ကို သတိပြုထားသင့်ပါသည်။",https://www.who.int/myanmar/emergencies/mpox
မျောက်ကျောက်ရောဂါသည် တိရစ္ဆာန်မှတစ်ဆင့် လူသို့ ဘယ်လိုကူးစက်စေတာလဲ?,မျောက်ကျောက်ရောဂါသည် ရောဂါကူးစက်ခံထားရသည့် တိရစ္ဆာန်ကို ကိုင်တွယ်ထိတွေ့ခြင်းမှ လူသို့ ကူးစက်စေပါသည်။ ရှဉ့်၊ ကြွက်စသည့် ရှေ့သွားဖြင့်ကိုက်ဖြတ်တတ်သော တိရိစ္ဆာန်များနှင့် အဆင့်မြင့်နို့တိုက် သတ္တဝါများ (လူ၊ လူဝံ၊ မျောက်စသည်) တို့သည် ရောဂါပိုး လက်ခံသယ်ဆောင်သူများဖြစ်ပါသည်။ မျောက်ကျောက်ရောဂါ ဖြစ်ပွားခံရမှုမှ လျော့ချနိုင်ရန်အတွက် သေဆုံးနေသော တိရစ္ဆာန်များ (၎င်းတို့၏ အသွေးအသား အပါအဝင်) နှင့် ဖျားနာနေသော တိရစ္ဆာန်များကို အကာအကွယ်မပါဘဲ ကိုင်တွယ်ထိတွေ့ခြင်းမှ ရှောင်ကြဉ်ပါ။ မျောက်ကျောက်ရောဂါ ဖြစ်ပွားမှုများသည့် တိုင်းပြည်များတွင် တိရစ္ဆာန်များ၏ အသား သို့မဟုတ် အခြားအစိတ်အပိုင်းများကို သေချာစွာ ကျက်အောင်ချက်ပြုတ် စားသောက်သင့်ပါသည်။,https://www.who.int/myanmar/emergencies/mpox
မျောက်ကျောက်ရောဂါသည် လူတစ်ဦးမှ အခြားတစ်ဦးသို့ မည်သို့ကူးစက်ပျံ့နှံ့ သနည်း?,"မျောက်ကျောက်ရောဂါ ဖြစ်ပွားနေသည့် လူတစ်ဦးသည် ရောဂါလက္ခဏာခံစားနေရချိန် (ပုံမှန်အားဖြင့် (၂) ပတ်မှ (၄) ပတ်အတွင်း) တွင် အခြားသူကို ကူးစက်စေနိုင်ပါသည်။ ရောဂါလက္ခဏာခံစားနေသည့်သူကို အနီးကပ် ကိုင်တွယ်ထိတွေ့ခြင်းမှ ရောဂါကူးစက်ခံရနိုင်ပါသည်။ အထူးသဖြင့် အနီကွက်၊ ခန္ဓာကိုယ်မှ ထွက်သောအရည်များ (အရည်ပြား အဖုအပိန့်မှ ထွက်သောအရည်၊ ပြည် သို့မဟုတ် သွေး) နှင့် အနာဖေးများမှတဆင့် ကူးစက်စေပါသည်။ ရောဂါဖြစ်ပွားသူ ကိုင်တွယ်ထိတွေ့ပြီးသော ဗိုင်းရပ်စ်ကပ်ညိနေသည့် အဝတ်အစား၊ အိမ်ယာခင်း၊ မျက်နှာသုတ်ပါဝါ သို့မဟုတ် စားသောက်ရာတွင် သုံးသည့်ပစ္စည်းများ၊ ပန်းကန်များကို ကိုင်တွယ်ထိတွေ့ခြင်းမှ တစ်ဆင့်လည်း အခြားသူဆီသို့ ကူးစက်စေပါသည်။

ခံတွင်းတွင်ရှိသော အနာများ၊ ပြည်တည်နာများမှတစ်ဆင့်လည်း ကူးစက်စေပါသည်။ ဆိုလိုသည်မှာ ရောဂါပိုးသည် တံတွေးမှတစ်ဆင့် ကူးစက်နိုင်ပါသည်။ ရောဂါဖြစ်ပွားနေသူများနှင့် ကိုင်တွယ်ထိတွေ့ လေ့ရှိသည့် ကျန်းမာရေးဝန်ထမ်းများ၊ အတူနေမိသားစုဝင်များနှင့် ၎င်း၏ လိင်ဆက်ဆံဖက်တို့သည် ရောဂါကူးစက်ခံရနိုင်ခြေ ပိုများပါသည်။

ကိုယ်ဝန်ဆောင်မိခင်များ၏ အချင်းတိုင်မှတစ်ဆင့် သန္ဓေသားဆီသို့ (သို့) မီးဖွားချိန်နှင့် မီးဖွားပြီးချိန်တွင် လည်းကောင်း၊ ရောဂါကူးစက်ခံထားရသည့် မိဘများမှ ကလေးသို့ အရေပြားချင်း ထိတွေ့ခြင်းတို့မှ လည်းကောင်း ရောဂါပိုးကူးစက်ခံရနိုင်ပါသည်။

ရောဂါလက္ခဏာ ပြသခြင်းမရှိသည့်သူများမှ ကူးစက်စေခြင်း ရှိ၊မရှိကိုမူ ရှင်းရှင်းလင်းလင်း မသိရှိရသေးပါ။",https://www.who.int/myanmar/emergencies/mpox
ဘယ်သူတွေမှာ မျောက်ကျောက်ရောဂါကူးစက်ခံရနိုင်ခြေပိုများပါသလဲ?,"မည်သူမဆို မျောက်ကျောက်ရောဂါ လက္ခဏာများခံစားနေရသည့် လူများနှင့် အနီးကပ်ကိုင်တွယ်ထိတွေ့ခြင်း သို့မဟုတ် ရောဂါကူးစက်ခံထားရသည့်တိရစ္ဆာန်များအား ကိုင်တွယ်ထိတွေ့ခြင်းရှိသူများသည် ရောဂါကူးစက်ခံရနိုင်ခြေ အများဆုံးဖြစ်ပါသည်။ ကျောက်ကြီးရောဂါကာကွယ်ဆေး ထိုးထားသူများသည် မျောက်ကျောက်ရောဂါဖြစ်ပွားခြင်းမှ တစိတ်တပိုင်းကာကွယ်မှုရရှိနိုင်ပါသည်။ ကျောက်ကြီးရောဂါပပျောက်သွားသည့် (၁၉၈၀) ခုနှစ် နောက်ပိုင်းတွင် ကျောက်ကြီးရောဂါကာကွယ်ဆေးထိုး လုပ်ငန်းသည် ရပ်နားထားခဲ့ပြီးဖြစ်သည့်အတွက်ကြောင့် ငယ်ရွယ်သူများသည် ကျောက်ကြီးရောဂါ ကာကွယ်ဆေး ထိုးနှံထားခြင်း ရှိမနေပါ။ ကျောက်ကြီးရောဂါ ကာကွယ်ဆေးထိုးထားသောကြောင့် မျောက်ကျောက်ရောဂါ ကူးစက်ခံရမှုမှ အကာအကွယ်အချို့ရရှိနေသော်လည်း ၎င်းတို့ကိုယ်တိုင်နှင့် အခြားသူများ ကူးစက်ခံရမှုမရှိအောင် ကြိုတင်ကာကွယ်မှုများ လုပ်ဆောင်ထားသင့်ပါသည်။

မွေးကင်းစကလေးများ၊ ကလေးသူငယ်များနှင့် ခုခံအားကျဆင်းနေသူများတွင် မျောက်ကျောက်ရောဂါကြောင့် ပြင်းထန်သည့် ရောဂါလက္ခဏာများခံစားရနိုင်ပြီး သေဆုံးနိုင်ချေပိုများပါသည်။ ကျန်းမာရေးဝန်ထမ်းများသည်လည်း ရောဂါပိုးနှင့် အချိန်ကြာမြင့်စွာ ထိတွေ့နိုင်သည့်အတွက်ကြောင့် ရောဂါကူးစက်ခံရနိုင်ခြေ ပိုမို မြင့်မားပါသည်။",https://www.who.int/myanmar/emergencies/mpox
မျောက်ကျောက်ရောဂါဖြစ်ပွားခြင်းမှ မိမိကိုယ်တိုင်နှင့် အခြားသူများကို ဘယ်လို ကာကွယ်မလဲ?,"သံသယ သို့မဟုတ် အတည်ပြု မျောက်ကျောက်ရောဂါဖြစ်ပွားနေသူများနှင့် ကိုင်တွယ်ထိတွေ့မှုကို ကန့်သတ်ခြင်းဖြင့် ကူးစက်ခံရနိုင်ခြေကို လျှော့ချနိုင်ပါသည်။

အကယ်၍ သင်ကိုယ်တိုင်သည် ကျန်းမာရေးဝန်ထမ်း သို့မဟုတ် အတူနေမိသားစုဝင်ဖြစ်ပြီး မျောက်ကျောက်ရောဂါလူနာကို ကိုင်တွယ်ထိတွေ့ရမည်ဆိုလျှင် ရောဂါဖြစ်ပွားနေသူကို သီးခြား နေထိုင်စေခြင်းနှင့် ဖြစ်နိုင်ပါက အရေပြားအဖုအပိန့်များကို ဖုံးအုပ်ခြင်း (ဥပမာ- အဖုအပိန့်များကို ဖုံးသော အဝတ်အစားများ ဝတ်ဆင်ခြင်း) တို့ကို လုပ်ဆောင်ရန် အားပေးပါ။ ချောင်းဆိုးနေသော သို့မဟုတ် ပါးစပ်တွင် အနာရှိသော လူနာများနှင့် နီးကပ်စွာရှိနေပါက ၎င်းတို့ကို ဆေးရုံသုံးနှာခေါင်းစည်း (Mask) တပ်ဆင်ထားစေပါ။ သင်ကိုယ်တိုင်လည်း နှာခေါင်းစည်း တပ်ဆင်ထားပါ။ သင့်အနေဖြင့် ဖြစ်နိုင်ပါက အရေပြားခြင်း ထိတွေ့ခြင်းကို ရှောင်ကြဉ်ပြီး အကယ်၍ အရေပြားအဖုအပိန့်များကို ကိုင်တွယ်ထိတွေ့ရမည်ဆိုလျှင်လည်း တစ်ခါသုံး လက်အိတ်များကို အသုံးပြုပြီး ကိုင်တွယ်ပါ။ လူနာများကိုယ်တိုင် အဝတ်အစားဝတ်ခြင်း သို့မဟုတ် အိပ်ယာခင်းခြင်း၊ ပြင်ဆင်ခြင်းတို့ကို မလုပ်ဆောင်နိုင်၍ မိမိက ကိုင်တွယ်ပေးရမည်ဆိုပါက နှာခေါင်းစည်း (Mask) တပ်ဆင်ပါ။

ရောဂါဖြစ်ပွားနေသူမှတစ်ဆင့် ရောဂါပိုးများကပ်ညှိနေနိုင်သည့် အဝတ်အစားများ၊ အိပ်ယာခင်းများ မျက်နှာသုတ်ပုဝါများနှင့် ၎င်းတို့ထိတွေ့ခဲ့သော အရာဝတ္ထုများ သို့မဟုတ် ၎င်းတို့၏ အရေပြား အဖုအပိန့်များ သို့မဟုတ် အသက်ရှူလမ်းကြောင်းမှ ထွက်လာသော အစက်အမှုန်များနှင့် ထိတွေ့ခဲ့သည်ဟု ယူဆရသော အရာများ (ဥပမာ- စားသောက်ခန်းသုံးပစ္စည်းများ၊ ပန်းကန်များ)ကို ထိတွေ့ကိုင်တွယ်ပြီးလျှင် လက်ကို ရေနှင့်ဆပ်ပြာ သို့မဟုတ် အယ်ကိုဟောပါဝင်သည့် လက်သန့်ဆေးရည်ဖြင့် ပုံမှန်ဆေးကြောပါ။ လူနာ၏ အဝတ်အစား၊ မျက်နာသုတ်ပုဝါ၊ အိပ်ယာခင်း နှင့် စားသောက်သည့်အခါ သုံးစွဲသည့် အသုံးအဆောင်များ၊ ပစ္စည်းများကို ရေနွေး၊ ဆပ်ပြာတို့ဖြင့် လျှော်ဖွတ်ပါ။ ရောဂါပိုးကပ်ညှိနေနိုင်သည့် မျက်နှာပြင်များကို ပိုးသတ်ပြီး သန့်ရှင်းအောင် ထားပါ။ ရောဂါပိုး ကပ်ညှိနေနိင်သည့် စွန့်ပစ်ပစ္စည်းများ (ဥပမာ- အနာဆေးထည့်သည့်ဂွမ်း) စသည်တို့ကိုလည်း စနစ်တကျ စွန့်ပစ်ပါ။",https://www.who.int/myanmar/emergencies/mpox
ကလေးငယ်များ မျောက်ကျောက်ရောဂါ ကူးစက်ခံရနိုင်လား?,ကလေးငယ်များသည် လူငယ်လူရွယ်များနှင့် လူကြီးများထက် ရောဂါလက္ခဏာ ပိုမိုပြင်းထန်စွာ ခံစားရနိုင်ပါသည်။ ရောဂါပိုးသည် သန္ဓေသား သို့မဟုတ် မွေးကင်းစ ကလေးငယ်မွေးဖွားသည့်အချိန် သို့မဟုတ် မွေးကင်းစကလေးငယ်များအား ကနဦး ကိုင်တွယ်ထိတွေ့ခြင်းစသည်တို့မှ ကူးစက်နိုင်ပါသည်။,https://www.who.int/myanmar/emergencies/mpox
မိမိကိုယ်တိုင် မျောက်ကျောက်ရောဂါခံစားနေရသည်ဟု သံသယရှိပါက ဘာတွေလုပ်ဆောင်သင့်ပါသလဲ?,သင်ကိုယ်တိုင် ရောဂါလက္ခဏာခံစားနေရခြင်း သို့မဟုတ် မျောက်ကျောက်ရောဂါဖြစ်နေသော လူတစ်ယောက်နှင့် ကိုင်တွယ်ထိတွေ့ခဲ့သည်ဟု သံသယရှိပါက ကျန်းမာရေးဝန်ထမ်းထံမှ အကူအညီတောင်းခံပြီး ဓါတ်ခွဲစမ်းသပ်ခြင်းနှင့် ဆေးကုသမှုခံယူပါ။ ဖြစ်နိုင်ပါက မိမိကိုယ်တိုင် သီးခြားနေထိုင်ခြင်းနှင့် အခြားသူများကို ထိတွေ့ခြင်းမှ ရှောင်ကြဉ်ပါ။ လက်ကို ပုံမှန်ဆေးကြောပြီး အခြားသူများကို ရောဂါမကူးစက်အောင် ကာကွယ်နိုင်ရန် အထက်ဖော်ပြပါ အချက်များကို လိုက်နာ ဆောင်ရွက်ပါ။ ကျန်းမာရေးဝန်ထမ်းက သင့်ထံမှ ဓါတ်ခွဲစမ်းသပ်ရန်အတွက် နမူနာယူမည်ဖြစ်သောကြောင့် သင့်အနေဖြင့် လိုအပ်သော ကုသမှု၊ ခံယူမှု ရရှိနိုင်မည်ဖြစ်ပါသည်။,https://www.who.int/myanmar/emergencies/mpox
